Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Scott Smith,Loss,18-11 (1),Justin Baesman,TKO (punches),WCFC 16: King of Sacramento,"January 23, 2016",2,0:57
Scott Smith,Win,18–10 (1),Mark Matthews,TKO (punches),WCFC 6: Matthews vs. Smith,"August 3, 2013",2,0:41
Scott Smith,Loss,17–10 (1),Lumumba Sayers,Submission (guillotine choke),Strikeforce: Tate vs. Rousey,"March 3, 2012",1,1:34
Scott Smith,Loss,17–9 (1),Tarec Saffiedine,Decision (unanimous),Strikeforce: Fedor vs. Henderson,"July 30, 2011",3,5:00
Scott Smith,Loss,17–8 (1),Paul Daley,KO (punch),Strikeforce: Henderson vs. Babalu II,"December 4, 2010",1,2:09
Scott Smith,Loss,17–7 (1),Cung Le,TKO (spinning back kick & punches),Strikeforce: Fedor vs. Werdum,"June 26, 2010",2,1:46
Scott Smith,Win,17–6 (1),Cung Le,KO (punches),Strikeforce: Evolution,"December 19, 2009",3,3:25
Scott Smith,Loss,16–6 (1),Nick Diaz,Submission (rear-naked choke),Strikeforce: Lawler vs. Shields,"June 6, 2009",3,1:19
Scott Smith,Win,16–5 (1),Benji Radach,KO (punch),Strikeforce: Shamrock vs. Diaz,"April 11, 2009",3,3:24
Scott Smith,Win,15–5 (1),Terry Martin,KO (punch),Strikeforce: Destruction,"November 21, 2008",1,0:24
Scott Smith,Loss,14–5 (1),Robbie Lawler,TKO (soccer kicks & punches),EliteXC: Unfinished Business,"July 26, 2008",2,2:35
Scott Smith,NC,14–4 (1),Robbie Lawler,No Contest (thumb in the eye),EliteXC: Primetime,"May 31, 2008",3,3:26
Scott Smith,Win,14–4,Kyle Noke,KO (punch),EliteXC: Street Certified,"February 16, 2008",2,0:07
Scott Smith,Win,13–4,Jeff Morris,KO (punch),GC 73: High Noon,"December 22, 2007",1,0:22
Scott Smith,Loss,12–4,Ed Herman,Submission (rear-naked choke),UFC 72,"June 16, 2007",2,2:25
Scott Smith,Win,12–3,Troy Miller,KO (punch),PFC 2,"March 22, 2007",1,1:06
Scott Smith,Loss,11–3,Patrick Côté,Decision (unanimous),UFC 67,"February 3, 2007",3,5:00
Scott Smith,Win,11–2,Pete Sell,KO (punch),The Ultimate Fighter: The Comeback Finale,"November 11, 2006",2,3:25
Scott Smith,Loss,10–2,David Terrell,Submission (rear-naked choke),UFC 59: Reality Check,"April 15, 2006",1,3:08
Scott Smith,Win,10–1,Justin Levens,KO (punches),WEC 18: Unfinished Business,"January 13, 2006",1,1:58
Scott Smith,Win,9–1,Tait Fletcher,TKO (punches),WEC 17,"October 14, 2005",1,3:55
Scott Smith,Win,8–1,Tim McKenzie,TKO (punches),WEC 17,"October 14, 2005",1,2:25
Scott Smith,Win,7–1,John Seilhan,KO (punch),Gladiator Challenge 30,"August 19, 2004",1,1:29
Scott Smith,Win,6–1,Isidro Gonzalez,Submission (rear naked choke),SF 3: Dome,"April 17, 2004",1,4:07
Scott Smith,Loss,5–1,James Irvin,KO (punch),Gladiator Challenge 22,"February 12, 2004",1,2:21
Scott Smith,Win,5–0,Jaime Jara,Submission (rear-naked choke),Gladiator Challenge 20,"November 13, 2003",1,3:01
Scott Smith,Win,4–0,Jaime Jara,TKO (punches),Gladiator Challenge 16,"June 1, 2003",1,4:13
Scott Smith,Win,3–0,Levi Thornbrue,TKO (punches),Gladiator Challenge 10,"April 14, 2002",1,2:20
Scott Smith,Win,2–0,Tim Kennedy,TKO (Doctor Stoppage),IFC: Warriors Challenge 15,"August 31, 2001",1,2:53
Scott Smith,Win,1–0,Ted Stamatelos,Submission (guillotine choke),IFC: Warriors Challenge 13,"June 15, 2001",1,3:16
Pete Spratt,Loss,25–24,Washington Luiz,KO (punches),Fury FC 20,"December 9, 2017",2,1:40
Pete Spratt,Loss,25–23,Tim Means,KO (elbows and punches),Legacy FC 23,"September 13, 2013",1,2:24
Pete Spratt,Loss,25–22,Dan Hornbuckle,Decision (unanimous),Legacy FC 17,"February 1, 2013",3,5:00
Pete Spratt,Win,25–21,Daniel Acácio,Technical Decision (unanimous),AFC: Amazon Forest Combat 2,"March 31, 2012",3,5:00
Pete Spratt,Win,24–21,Martin Grandmont,TKO (punches),Instinct MMA 2,"December 2, 2011",2,4:00
Pete Spratt,Loss,23–21,Jorge Patino,Decision (split),Legacy FC 8,"September 16, 2011",5,5:00
Pete Spratt,Win,23–20,Antonio Flores,TKO (punch),Legacy FC 7,"July 22, 2011",1,0:18
Pete Spratt,Loss,22–20,Marcus Davis,Decision (unanimous),MFC 30: Up Close & Personal,"June 10, 2011",3,5:00
Pete Spratt,Win,22–19,Demi Deeds,Submission (armbar),MFC 29: Conquer,"April 8, 2011",2,4:19
Pete Spratt,Loss,21–19,Ryan Ford,Submission (rear-naked choke),MFC 27,"November 12, 2010",2,3:07
Pete Spratt,Loss,21–18,Eric Davila,Submission (guillotine choke),Shark Fights 13: Jardine vs Prangley,"September 11, 2010",2,3:49
Pete Spratt,Win,21–17,Luigi Fioravanti,TKO (punches),MFC 25,"May 7, 2010",3,4:02
Pete Spratt,Loss,20–17,Keith Wisniewski,Submission (rear-naked choke),Hoosier FC 2: It's On,"January 2, 2010",1,4:07
Pete Spratt,Win,20–16,Nathan Gunn,KO (punch),MFC 22,"October 2, 2009",2,4:19
Pete Spratt,Win,19–16,Alan Woods,Submission (armbar),SCMMA 1: Battle of the Texas Titans,"June 11, 2009",1,3:56
Pete Spratt,Loss,18–16,Donnie Liles,Submission (rear-naked choke),Strikeforce: Payback,"October 3, 2008",3,1:59
Pete Spratt,Loss,18–15,John Alessio,Submission (rear-naked choke),Banner Promotions: Night of Combat,"June 20, 2008",2,2:07
Pete Spratt,Win,18–14,Jason Von Flue,KO (punch),UWC 3: Invasion,"April 26, 2008",1,2:34
Pete Spratt,Loss,17–14,Ryan Ford,Submission (rear-naked choke),MFC 15: Rags to Riches,"February 22, 2008",2,4:01
Pete Spratt,Win,17–13,Tristan Yunker,TKO (cut),HDNet Fights: Reckless Abandon,"December 15, 2007",1,1:38
Pete Spratt,Win,16–13,TJ Waldburger,KO (punches),HDNet Fights,"October 13, 2007",1,1:29
Pete Spratt,Loss,15–13,TJ Waldburger,Submission (triangle choke),King of Kombat,"September 7, 2007",2,1:30
Pete Spratt,Loss,15–12,Tamdan McCrory,Submission (triangle choke),UFC Fight Night: Stout vs Fisher,"June 12, 2007",2,2:04
Pete Spratt,Loss,15–11,Marcus Davis,Submission (achilles lock),UFC 69,"April 7, 2007",2,2:57
Pete Spratt,Win,15–10,Jeremy Jackson,Submission (neck crank),The Ultimate Fighter: The Comeback Finale,"November 11, 2006",2,1:11
Pete Spratt,Win,14–10,Matt Brown,Decision (unanimous),International Freestyle Fighting 1,"May 6, 2006",3,5:00
Pete Spratt,Loss,13–10,Josh Koscheck,Submission (rear-naked choke),UFC Ultimate Fight Night,"August 6, 2005",1,1:53
Pete Spratt,Win,13–9,Wataru Takahashi,KO (punch),Shoot Boxing: Ground Zero Fukuoka,"January 23, 2005",1,2:56
Pete Spratt,Loss,12–9,John Cronk,Submission (rear-naked choke),Venom: First Strike,"September 8, 2004",1,4:43
Pete Spratt,Loss,12–8,Chris Lytle,Submission (rear-naked choke),RSF: Shooto Challenge 2,"January 2, 2004",1,0:46
Pete Spratt,Loss,12–7,Georges St-Pierre,Submission (rear-naked choke),TKO 14: Road Warriors,"November 29, 2003",1,3:40
Pete Spratt,Win,12–6,Robbie Lawler,Submission (hip injury),UFC 42,"April 25, 2003",2,2:28
Pete Spratt,Loss,11–6,Carlos Newton,Submission (kimura),UFC 40,"November 22, 2002",1,1:45
Pete Spratt,Win,11–5,Zach Light,Submission (armbar),UFC 37.5,"June 22, 2002",1,2:25
Pete Spratt,Loss,10–5,Steve Berger,TKO (cut),UA 1: The Genesis,"January 27, 2002",1,2:14
Pete Spratt,Win,10–4,Brian Sleeman,Submission (punches),GC 7: Casualties of War,"November 4, 2001",1,N/A
Pete Spratt,Loss,9–4,Ronald Jhun,KO (knee),Warriors Quest 2: Battle of Champions,"August 1, 2001",3,4:36
Pete Spratt,Win,9–3,Jay Jack,TKO (punches),Ring of Fire 3,"June 9, 2001",1,0:55
Pete Spratt,Loss,8–3,Hector Garza,Submission,Renegades Extreme Fighting,"March 23, 2001",1,2:33
Pete Spratt,Loss,8–2,Cruz Chacon,Decision (majority),ROF 2: Trial By Fire,"February 10, 2001",3,3:00
Pete Spratt,Win,8–1,Rich Clementi,TKO (doctor stoppage),Reality Combat Fighting 9,"January 27, 2001",1,N/A
Pete Spratt,Win,7–1,Jason House,KO (punches),Bushido 1,"January 18, 2001",1,N/A
Pete Spratt,Win,6–1,Bone Sayavonga,Submission (strikes),Renegades Extreme Fighting,"November 7, 2000",1,1:36
Pete Spratt,Win,5–1,Cedric Marks,Submission,Renegades Extreme Fighting,"November 7, 2000",1,9:55
Pete Spratt,Loss,4–1,Yves Edwards,Submission (triangle choke),Renegades Extreme Fighting,"July 15, 2000",1,N/A
Pete Spratt,Win,4–0,Doug Carpenter,Decision,Renegades Extreme Fighting,"May 31, 2000",1,10:00
Pete Spratt,Win,3–0,Rolando Aguilar,KO,Renegades Extreme Fighting,"May 31, 2000",1,N/A
Pete Spratt,Win,2–0,Keith Sutton,KO,Extreme Shootout: The Underground,"April 1, 2000",N/A,N/A
Pete Spratt,Win,1–0,Jeremiah O'Neal,Submission (rear-naked choke),Power Ring Warriors,"February 19, 1999",1,N/A
Chad Reiner,Loss,33–19,John Alford,Submission (armbar),Fury Fights,"February 27, 2016",1,0:06
Chad Reiner,Win,33-18,Brian Green,Submission (armbar),MMAFS: Champion vs. Champion,"December 15, 2015",1,3:10
Chad Reiner,Loss,32–18,Takenori Sato,Submission (armbar),PRO Fighting 10,"May 9, 2015",1,N/A
Chad Reiner,Win,32–17,Eric Wild,Submission (guillotine choke),Pride and Pain,"May 3, 2014",2,2:04
Chad Reiner,Loss,31–17,Miles Marshall,KO (punches),Dynasty Combat Sports 3: Fight Fest,"September 27, 2013",1,0:25
Chad Reiner,Win,31–16,Casey Barnum,Submission (guillotine choke),Rocky Mountain MMA: Fist of Fury,"September 14, 2013",1,0:10
Chad Reiner,Loss,30–16,Aaron Young,TKO (punches),KOTC: Patriarch,"July 6, 2013",1,0:46
Chad Reiner,Win,30–15,Isidro Gonzalez,Submission (punches),Midwest Championship Fighting 7,"June 8, 2013",1,1:18
Chad Reiner,Loss,29–15,André Santos,Submission (anaconda choke),Show Fighting Enterprise 1,"March 1, 2013",1,3:31
Chad Reiner,Loss,29–14,Ryan Shell,Technical Submission (guillotine choke),Disorderly Conduct 13: Legacy,"November 16, 2012",3,4:04
Chad Reiner,Win,29–13,Jason Ehresmann,TKO (punches),Fury Fights,"March 31, 2012",1,3:28
Chad Reiner,Win,28–13,Eddie Larrea,Decision (unanimous),Full Contact Promotions,"February 5, 2011",3,5:00
Chad Reiner,Loss,27–13,Rudy Bears,KO (punch),Bellator 32,"October 14, 2010",1,1:29
Chad Reiner,Win,27–12,Robert Gotreau,Submission (guillotine choke),Rochester Gladiators,"October 2, 2010",2,0:26
Chad Reiner,Loss,26–12,Joe Ray,KO (punch),Martial Combat 7,"August 18, 2010",3,0:00
Chad Reiner,Win,26–11,Hollis Huggins,TKO (punches),FFL: Undisputed,"May 15, 2010",2,2:17
Chad Reiner,Win,25–11,Curtis Johnson,Submission (armbar),Tristate Cage Fights,"April 30, 2010",1,1:42
Chad Reiner,Loss,24–11,Jason Ehresmann,TKO (punches),SD Total Combat 7,"April 24, 2010",1,1:53
Chad Reiner,Win,24–10,Brian Green,Decision (unanimous),ROF 37: Warlords,"March 5, 2010",3,5:00
Chad Reiner,Win,23–10,Sean Bauer,TKO (punches),Fury Fights,"January 23, 2010",2,0:54
Chad Reiner,Loss,22–10,Chris Camozzi,Submission (anaconda choke),Kings of Champions: Rage,"November 14, 2009",2,4:55
Chad Reiner,Loss,22–9,Forrest Petz,TKO (punches),Adrenaline MMA 4,"September 18, 2009",1,2:28
Chad Reiner,Win,22–8,Nate Martin,Submission (rear-naked choke),MFDM: Ballroom Brawl 2,"August 28, 2009",1,2:07
Chad Reiner,Loss,21–8,Josh Rosaaen,Submission (punches),The Cage Inc.: Battle at the Border 2,"June 12, 2009",3,2:55
Chad Reiner,Win,21–7,Steve Gibson,Submission,Tristate Cage Fights,"August 29, 2009",1,3:32
Chad Reiner,Loss,20–7,Kyle Baker,TKO (punches),CageFest Xtreme 6: Evolution,"November 15, 2008",3,N/A
Chad Reiner,Win,20–6,Anton Tomash,KO (punches),TCI: Fight Hunger,"October 17, 2008",2,2:05
Chad Reiner,Win,19–6,Zach Strand,TKO (punches),10-4: Thunder,"October 4, 2008",2,0:58
Chad Reiner,Win,18–6,Demi Deeds,Submission (armbar),VFC 24: Revolution,"July 26, 2008",1,N/A
Chad Reiner,Loss,17–6,TJ Grant,Submission (kimura),PFP: Last Man Standing,"June 21, 2008",3,4:15
Chad Reiner,Loss,17–5,Brandon Wolff,Decision (split),X-1: Legends,"May 16, 2008",5,5:00
Chad Reiner,Loss,17–4,Dan Hardy,TKO (punches),Cage Warriors: Enter the Rough House 6,"April 19, 2008",3,2:10
Chad Reiner,Win,17–3,Mark Moreno,TKO (punches),X-1 Events: Champions,"January 26, 2008",3,0:52
Chad Reiner,Win,16–3,Stephane Dube,Submission (armbar),TKO 31: Young Guns,"December 14, 2007",1,4:59
Chad Reiner,Win,15–3,Mark Moreno,Submission (kimura),X-1: New Bloods,"November 9, 2007",2,3:33
Chad Reiner,Win,14–3,Isdro Gonzalez,Submission (rear-naked choke),ROF 30: Domination,"September 15, 2007",1,2:35
Chad Reiner,Loss,13–3,Anthony Johnson,KO (punches),UFC Fight Night: Stout vs Fisher,"June 12, 2007",1,0:13
Chad Reiner,Loss,13–2,Josh Burkman,Decision (unanimous),UFC Fight Night: Evans vs Salmon,"January 25, 2007",3,5:00
Chad Reiner,Win,13–1,Victor Moreno,Submission (armbar),VFC 17: Predators,"December 9, 2006",1,1:44
Chad Reiner,Loss,12–1,Dustin Hazelett,KO (punches),Extreme Challenge 70,"August 26, 2006",1,0:07
Chad Reiner,Win,12–0,Justin Wilcox,Submission (armbar),Extreme Challenge 68,"July 15, 2006",1,2:54
Chad Reiner,Win,11–0,Edward O'Daniel,KO (punches),Extreme Challenge 68,"July 15, 2006",2,0:31
Chad Reiner,Win,10–0,Jay Jack,Decision (unanimous),ROF 24: Integrity,"June 26, 2006",2,5:00
Chad Reiner,Win,9–0,David Anderson,Decision (unanimous),VFC 14: Aggression,"May 20, 2006",3,5:00
Chad Reiner,Win,8–0,Yancy Cuellar,TKO (punches),The Cage Inc.,"April 22, 2006",1,1:53
Chad Reiner,Win,7–0,Joey Clark,Decision (unanimous),EFX: Fury,"April 6, 2006",3,5:00
Chad Reiner,Win,6–0,Aaron Romero,Decision (unanimous),ROF 21: Full Blast,"February 11, 2006",2,5:00
Chad Reiner,Win,5–0,Geno Roderick,Submission (armbar),Xtreme Fighting Organization 9,"January 28, 2006",1,0:53
Chad Reiner,Win,4–0,Jason Purcell,TKO (punches),AFC 5: Lights Out,"January 6, 2006",2,N/A
Chad Reiner,Win,3–0,Vern Jefferson,Submission (punches),VFC 11: Demolition,"December 3, 2005",1,4:42
Chad Reiner,Win,2–0,Mike Schroder,Submission (injury),AFC 4: New Hitter,"November 18, 2005",1,4:28
Chad Reiner,Win,1–0,Victor Moreno,Submission (rear-Naked Choke),Extreme Challenge 64,"October 15, 2005",1,4:01
Sean Salmon,Loss,18–21,Todd Brown,Submission (punches),MFL 29,"April 13, 2013",1,2:02
Sean Salmon,Loss,18–20,Teddy Holder,TKO (punches),UCC: Undisputed Combat Challenge 6,"November 17, 2012",1,1:46
Sean Salmon,Loss,18–19,Aaron Mays,TKO (punches),Coalition of Combat: Clash of the Titans,"June 2, 2012",1,0:35
Sean Salmon,Loss,18–18,João Zeferino,Submission (heel hook),NAFC: Unleashed,"November 18, 2011",1,0:25
Sean Salmon,Loss,18–17,Antony Rea,TKO (punches),Desert Force: Elimination Series: Knockout Round,"September 30, 2011",1,1:00
Sean Salmon,Loss,18–16,Laverne Clark,KO (punches),Fight Tour,"August 20, 2011",1,3:22
Sean Salmon,Loss,18–15,Joe Cason,TKO (punches),NAFC: Mayhem,"May 6, 2011",1,1:14
Sean Salmon,Loss,18–14,Tom DeBlass,Submission (achilles lock),Ring of Combat 35,"April 8, 2011",1,0:57
Sean Salmon,Loss,18–13,Assan Njie,TKO (punches),Superior Challenge 6,"October 29, 2010",1,0:41
Sean Salmon,Loss,18–12,Toni Valtonen,TKO (punches),Fight Festival 28,"October 16, 2010",1,3:18
Sean Salmon,Loss,18–11,Jeremy Horn,Submission (rear-naked choke),IFC: Extreme Challenge,"July 10, 2010",1,1:57
Sean Salmon,Loss,18–10,Eric Cebarac,Submission (guillotine choke),WAFC: Mayor's Cup 2010,"May 29, 2010",1,0:25
Sean Salmon,Win,18–9,Nikita Khazov,Decision (unanimous),WAFC: Mayor's Cup 2010,"May 29, 2010",2,5:00
Sean Salmon,Loss,17–9,Alexander Shlemenko,TKO (knee to the body),Fight Festival 27,"March 13, 2010",1,0:40
Sean Salmon,Win,17–8,Yuki Sasaki,Decision (unanimous),Fight Festival 26,"October 17, 2009",3,5:00
Sean Salmon,Loss,16–8,Allan Weickert,Submission (armbar),NAAFS: Fight Nite in the Flats 5,"June 6, 2009",2,2:05
Sean Salmon,Win,16–7,John Doyle,Decision (unanimous),Ring of Combat 24,"April 17, 2009",3,5:00
Sean Salmon,Loss,15–7,Lucio Linhares,Submission (rear-naked choke),Fight Festival 25,"March 14, 2009",1,2:07
Sean Salmon,Loss,15–6,Josh Haynes,Submission (achilles lock),SuperFights MMA: Night of Combat 2,"October 11, 2008",2,2:49
Sean Salmon,Win,15–5,Mitch Whitesel,TKO (punches),NAAFS: Night of Pain 4,"September 19, 2008",2,2:08
Sean Salmon,Loss,14–5,Jorge Santiago,KO (flying knee),"Strikeforce: Four Men Enter, One Man Survives","November 16, 2007",1,0:24
Sean Salmon,Win,14–4,Marcus Vinicios,TKO (injury),HCF: Title Wave,"October 19, 2007",2,4:22
Sean Salmon,Win,13–4,Mikko Rupponen,TKO (doctor stoppage),Fight Festival 22,"September 22, 2007",1,3:32
Sean Salmon,Win,12–4,Jason Jones,Submission (punches),NAAFS: Rock n Rumble,"September 8, 2007",1,1:30
Sean Salmon,Loss,11–4,Travis Wiuff,Submission (guillotine choke),IFO: Wiuff vs. Salmon,"September 1, 2007",1,2:37
Sean Salmon,Win,11–3,William Hill,Decision,XFO 19,"August 11, 2007",3,5:00
Sean Salmon,Win,10–3,Jason Freeman,Submission (americana),NAAFS: Fight Night in the Flats III,"June 9, 2007",1,1:19
Sean Salmon,Loss,9–3,Alan Belcher,Submission (guillotine choke),UFC 71,"May 26, 2007",1,0:51
Sean Salmon,Loss,9–2,Rashad Evans,KO (head kick),UFC Fight Night 8,"January 25, 2007",2,1:06
Sean Salmon,Win,9–1,Matt Hershberger,Submission (punches),Fightfest 8,"October 20, 2006",1,0:51
Sean Salmon,Win,8–1,Bobby Martinez,Submission (americana),Legends of Fighting 9,"September 29, 2006",1,1:19
Sean Salmon,Win,7–1,Lucas Lopes,Submission (elbows),Fightfest 6,"September 23, 2006",2,2:44
Sean Salmon,Loss,6–1,David Heath,Submission (armbar),FF 5: Korea vs USA,"July 15, 2006",1,0:50
Sean Salmon,Win,6–0,Hans Marrero,Submission (americana),Diesel Fighting Championships 1,"June 30, 2006",1,1:04
Sean Salmon,Win,5–0,Danny Sheehan,TKO (punches),FFP: Untamed 5,"June 16, 2006",1,1:42
Sean Salmon,Win,4–0,Jim Bundy,Submission (armbar),Fightfest 3,"May 6, 2006",1,1:27
Sean Salmon,Win,3–0,Bryan Zanders,TKO (injury),KOTC: Redemption on the River,"February 17, 2006",2,1:46
Sean Salmon,Win,2–0,Jerry Spiegel,Decision,KOTC 64: Raging Bull,"December 16, 2005",3,5:00
Sean Salmon,Win,1–0,Rob Wince,Submission (americana),HHCF 24: Thanksgiving Throwdown 2,"November 26, 2005",1,N/A
Elvis Sinosic,Loss,8–11–2,Paul Cahoon,KO (punches),Cage Rage 24,1 December 2007,1,0:21
Elvis Sinosic,Loss,8–10–2,Michael Bisping,TKO (punches),UFC 70,21 April 2007,2,1:40
Elvis Sinosic,Win,8–9–2,Mark Epstein,Submission (armbar),Cage Rage 19,9 December 2006,1,2:37
Elvis Sinosic,Win,7–9–2,Shamoji Fuji,Submission (armbar),Xplosion,30 September 2006,1,2:40
Elvis Sinosic,Loss,6–9–2,Alessio Sakara,Decision (unanimous),UFC 57: Liddell vs. Couture 3,4 February 2006,3,5:00
Elvis Sinosic,Loss,6–8–2,Forrest Griffin,KO (punches),UFC 55: Fury,7 October 2005,1,3:22
Elvis Sinosic,Draw,6–7–2,Daijiro Matsui,Draw,Pancrase: Spiral 5,10 July 2005,2,5:00
Elvis Sinosic,Win,6–7–1,Roberto Traven,KO (punch),WR 1 – Warriors Realm 1,3 September 2004,2,
Elvis Sinosic,Loss,5–7–1,Sanae Kikuta,Decision (unanimous),Pancrase - 10th Anniversary Show,31 August 2003,3,5:00
Elvis Sinosic,Win,5–6–1,August Wallen,Submission (armbar),FE 3 – Fighter Extreme 3,2 May 2003,1,5:36
Elvis Sinosic,Loss,4–6–1,Renato Sobral,Decision (unanimous),UFC 38,13 July 2002,3,5:00
Elvis Sinosic,Loss,4–5–1,Evan Tanner,TKO (doctor stoppage),UFC 36,22 March 2002,1,2:06
Elvis Sinosic,Loss,4–4–1,Tito Ortiz,TKO (punches and elbows),UFC 32,29 June 2001,1,3:32
Elvis Sinosic,Win,4–3–1,Jeremy Horn,Submission (triangle armbar),UFC 30,23 February 2001,1,2:59
Elvis Sinosic,Loss,3–3–1,Frank Shamrock,Decision,K-1 Grand Prix 2000 Final,12 December 2000,5,3:00
Elvis Sinosic,Draw,3–2–1,Dave Beneteau,Draw,UCC 1 – The New Beginning,2 June 2000,2,10:00
Elvis Sinosic,Loss,3–2,Al Reynish,TKO (retirement),Rings Australia: NR2,13 September 1998,1,7:52
Elvis Sinosic,Win,3–1,Daniel Bond,TKO,AVT – Australia Vale Tudo,16 November 1997,1,
Elvis Sinosic,Win,2–1,Kevin McConachie,TKO,AVT – Australia Vale Tudo,16 November 1997,1,
Elvis Sinosic,Loss,1–1,Chris Haseman,TKO (chin to the eye),Caged Combat 1 – Australian Ultimate Fighting,22 March 1997,1,2:47
Elvis Sinosic,Win,1–0,Matt Rocca,TKO (submission to strikes),Caged Combat 1 – Australian Ultimate Fighting,22 March 1997,1,0:41
Assuerio Silva,Loss,15–8 (1),Geronimo dos Santos,KO (punches),Jungle Fight 16,"October 17, 2009",1,1:01
Assuerio Silva,Win,15–7 (1),Dave Anderton,Submission (guillotine choke),Boa Vista Combat Show,"August 30, 2009",1,0:53
Assuerio Silva,Loss,14–7 (1),Todd Duffee,TKO (punches),Jungle Fight 11,"September 13, 2008",2,1:17
Assuerio Silva,Win,14–6 (1),Terroll Dees,Submission (kneebar),Jungle Fight 10,"July 12, 2008",1,1:42
Assuerio Silva,Win,13–6 (1),Tatsuya Mizuno,TKO (punches),Pancrase: Rising 5,"May 30, 2007",2,2:08
Assuerio Silva,Loss,12–6 (1),Cheick Kongo,Decision (majority),UFC 70,"April 21, 2007",3,5:00
Assuerio Silva,Win,12–5 (1),Igor Pokrajac,Decision (split),Jungle Fight Europe,"December 17, 2006",3,5:00
Assuerio Silva,Win,11–5 (1),Eduardo Maiorino,TKO (punches),Show Fight 5,"November 9, 2006",1,N/A
Assuerio Silva,Loss,10–5 (1),Brandon Vera,Submission (guillotine choke),UFC 60: Hughes vs. Gracie,"May 27, 2006",1,2:39
Assuerio Silva,Loss,10–4 (1),Tim Sylvia,Decision (unanimous),UFC Fight Night 3,"January 16, 2006",3,5:00
Assuerio Silva,Win,10–3 (1),Alessio Sakara,Decision (unanimous),Jungle Fight 3,"October 23, 2004",3,5:00
Assuerio Silva,Win,9–3 (1),Fabiano Scherner,Submission (guillotine choke),Jungle Fight 2,"May 15, 2004",2,1:00
Assuerio Silva,Loss,8–3 (1),Alexander Emelianenko,Decision (split),Pride Bushido 1,"October 5, 2003",2,5:00
Assuerio Silva,NC,8–2 (1),Fabiano Scherner,No Contest (injury),Meca World Vale Tudo 9,"August 1, 2003",3,1:24
Assuerio Silva,Win,8–2,Yoshihisa Yamamoto,TKO (punches),Pride 16,"September 24, 2001",1,0:11
Assuerio Silva,Win,7–2,Valentijn Overeem,Submission (heel hook),Pride 15,"July 29, 2001",1,2:50
Assuerio Silva,Win,6–2,Walter Farias,KO (head kick),Meca World Vale Tudo 5,"June 9, 2001",1,5:00
Assuerio Silva,Win,5–2,Pedro Otavio,Submission (strikes),Meca World Vale Tudo 4,"December 16, 2000",2,2:00
Assuerio Silva,Win,4–2,Rodrigo Mamute,Submission (punches and stomp),Meca World Vale Tudo 2,"August 12, 2000",1,4:27
Assuerio Silva,Win,3–2,Luis Alberto,Submission,Desafio: BadBoy de ValeTudo 2,"November 20, 1999",N/A,N/A
Assuerio Silva,Win,2–2,Leopoldo Serao,KO,Desafio: BadBoy de ValeTudo 2,"November 20, 1999",N/A,N/A
Assuerio Silva,Loss,1–2,Mikhail Avetisyan,TKO (cut),World Vale Tudo Championship 7,"February 2, 1999",1,8:58
Assuerio Silva,Win,1–1,Waldir dos Anjos,Submission (rear naked choke),BVF 12: Circuito Brasileiro de Vale Tudo 4,"November 18, 1998",1,11:07
Assuerio Silva,Loss,0–1,Charles Gracie,Submission (triangle choke),Extremo Combate Bahia Open,"July 7, 1997",1,1:01
Brad Imes,Loss,13–7,Josh Queen,KO (punches),Arena Rumble,"September 12, 2009",1,0:36
Brad Imes,Loss,13–6,Patrick Smith,KO (punches),Titan FC 13,"March 13, 2009",1,0:28
Brad Imes,Win,13–5,Chris Guillen,Submission (punches),EC 109: Extreme Challenge 109,"October 18, 2008",2,3:14
Brad Imes,Loss,12–5,Roy Nelson,KO (punches),IFL: Connecticut,"May 16, 2008",1,2:55
Brad Imes,Win,12–4,James Jack,Decision (unanimous),TFF: True Fight Fans,"March 7, 2008",3,5:00
Brad Imes,Loss,11–4,Anthony Ruiz,Decision (split),"PFC 6: No Retreat, No Surrender","January 17, 2008",3,5:00
Brad Imes,Win,11–3,Chris Blaire,TKO (punches),PFC 5: Beatdown at 4 Bears,"November 10, 2007",1,4:13
Brad Imes,Win,10–3,Bo Cantrell,Submission (gogoplata),KOTC: Arch Rivals,"October 27, 2007",1,0:55
Brad Imes,Win,9–3,Zak Jensen,Submission (gogoplata),WFC: Downtown Throwdown,"September 15, 2007",1,1:31
Brad Imes,Win,8–3,Tony Mendoza,Submission (rear-naked choke),Ring Wars 15,"August 7, 2007",1,2:50
Brad Imes,Win,7–3,Vince Lucero,Submission (rear-naked choke),Tuff N-Uff 3,"June 22, 2007",1,2:26
Brad Imes,Loss,6–3,Heath Herring,Decision (unanimous),UFC 69,"April 7, 2007",3,5:00
Brad Imes,Win,6–2,Chris Adams,KO (punch),Combat FC 3,"February 17, 2007",1,0:18
Brad Imes,Win,5–2,Greg Hammer,Submission (triangle choke),Winter War,"February 4, 2007",2,1:44
Brad Imes,Win,4–2,Cody Monroe,Submission (punches),Ring Style - Bad Blood[5],"April 22, 2006",1,N/A
Brad Imes,Loss,3–2,Dan Christison,Submission (armbar),UFC Fight Night 4,"April 6, 2006",3,3:37
Brad Imes,Loss,3–1,Rashad Evans,Decision (split),The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,"November 5, 2005",3,5:00
Brad Imes,Win,3–0,Mike Dexter,Submission (triangle choke),WEC 14: Vengeance,"March 17, 2005",1,3:44
